id,area,name,value,statement,anchor,guard,source,asserted
L-PERF-1,performance,LCP,2.5s,Largest Contentful Paint under 2.5 seconds on a mid-range mobile.,skills/siteasy/references/optimize.md,"\bLCP[^\n]{0,30}\b2\.5\s*s","Google Core Web Vitals thresholds, web.dev/lcp",2026-08-13
L-PERF-2,performance,CLS,0.1,Cumulative Layout Shift under 0.1.,skills/siteasy/references/optimize.md,,"Google Core Web Vitals thresholds, web.dev/cls",2026-08-13
L-PERF-3,performance,INP,200ms,Interaction to Next Paint under 200ms at p75.,skills/siteasy/references/optimize.md,"\bINP[^\n]{0,30}\b200\s*ms","Google Core Web Vitals thresholds, web.dev/inp",2026-08-13
L-WEBGL-1,webgl,Draw call ceiling,~300 target / 1000 max,A WebGL scene aims for a few hundred draw calls and never exceeds 1000; instancing beyond.,skills/siteasy/references/overdrive.md,"\b300\b[^\n]{0,40}\b1000\s+draw\s+calls",three.js performance guidance plus the plugin's own measurements,2026-08-13
L-WEBGL-2,webgl,Pixel ratio cap,2,Renderer pixel ratio is capped at 2.,skills/siteasy/references/overdrive.md,,three.js WebGLRenderer.setPixelRatio guidance,2026-08-13
L-CONTENT-1,content,Editorial quality gate,70/100,"Composite editorial quality reaches 70 out of 100 before publication, on the five weighted dimensions.",skills/siteasy/references/slop-patterns.md,,NullToHero editorial: content score pass mark,2026-08-13
L-CONTENT-2,content,Sentence rhythm,std dev 8-15 words,"Sentence-length standard deviation sits between 8 and 15 words, peaking near 10; flat rhythm is the most reliable tell of unedited generation.",skills/siteasy/references/slop-patterns.md,"\bstandard deviation[^\n]{0,30}\b8\s*(?:to|-|–)\s*15\b","NullToHero editorial, derived from the slop-pattern corpus",2026-08-13
L-CONTENT-3,content,Prose to structure balance,50-75% prose,Between half and three quarters of a document is prose; over-listing is penalised harder than under-listing.,skills/siteasy/references/slop-patterns.md,\b50\s*(?:to|-|–)\s*75\s*%\s+prose,"NullToHero editorial, derived from the slop-pattern corpus",2026-08-13
L-CONTENT-4,content,Keyword density ceiling,3%,"Main keyword occupies under 3 percent of the words, measured as words covered by matches and not as occurrences over word count.",skills/seo/references/content.md,"\bkeyword density[^\n]{0,20}\b3\s*%",SEO practice: density above this reads as stuffing to every current engine,2026-08-13
L-GEO-1,geo,Tier 1 AI crawler access,all reachable,"Every tier 1 AI crawler reaches the site; a blocked search or user fetcher costs citations, unlike a blocked training crawler.",skills/seo/references/geo.md,,NullToHero editorial: AI crawler access policy,2026-08-13
L-GEO-2,geo,Crawler access is HTTP-level,browser parity,Bot user-agents receive the same HTTP status as a browser; robots.txt states intent and the edge decides outcome.,skills/seo/references/geo.md,,NullToHero editorial: rendered parity requirement,2026-08-13
L-DATA-1,measurement,Aligned comparison windows,equal length,"Two compared periods are of strictly equal length and end at least three days back, because Search Console has no data for the current day.",skills/seo/references/search-console.md,,Search Console export semantics,2026-08-13
L-DATA-2,measurement,Refusal to score,half the inputs,No numeric score is emitted for a dimension with fewer than half its inputs available; report insufficient data instead.,skills/audit/references/full.md,,NullToHero editorial: audit coverage floor,2026-08-13
L-VIEWPORT-1,layout,Full-bleed viewport unit,dvh,A full-bleed section that must never reveal the page behind it is sized in dvh; svh stops growing when the phone browser bar retracts and leaves a band of page background.,skills/siteasy/references/responsive-design.md,,"CSS Values 4 dynamic viewport units, and iOS Safari toolbar behaviour",2026-08-13
L-VIEWPORT-2,layout,Viewport unit consistency,one unit per scroll system,A pinned scroll track and the platter pinned inside it use the same viewport unit; mixing vh and svh retimes every act because the two resolve to different heights.,skills/siteasy/references/parallax.md,,NullToHero editorial: one scroll system per page,2026-08-13
L-PROG-1,programmatic,Programmatic page-count gates,100 warn / 500 alert / 5000 stop,"Below 100 generated pages standard practice applies; 100 to 499 is a warning and takes a 10 percent sample audit; 500 to 4999 is a high alert and takes a full quality audit; 5000 and above is a hard stop until a thin-content prevention plan exists. Four tiers, not two: collapsing them relabels the alert as the stop.",skills/seo/references/programmatic.md,hard stop[^\n]*?[0-9],NullToHero editorial: programmatic page-count thresholds,2026-08-13
L-PROG-2,programmatic,Location page gates,30 warn / 50 stop,"Location pages gate harder than generic programmatic pages, warning at 30 and hard stop at 50 without a thin-content audit, because a city-templated set is the canonical doorway pattern and the same page count carries more risk.",skills/seo/references/local.md,[0-9]+\+? location pages,NullToHero editorial: local page-count thresholds,2026-08-13
L-WORD-1,content,Page-type word floors,"one table, in content.md",Per-page-type word counts are topical coverage floors and never targets. The single table lives in content.md and is cited; restating a different number elsewhere is how three files came to disagree on the same product page.,skills/seo/references/content.md,[Mm]inimum [0-9]+ words,NullToHero editorial: minimum word counts live in one table,2026-08-13
L-INDEXNOW-1,indexing,IndexNow participant list,"one dated list, in indexnow.md","The IndexNow participant list is stated once, with a date, in indexnow.md. No other file enumerates it, because a partial copy does not look stale when a participant joins, it just stays quietly wrong.",skills/seo/references/indexnow.md,Yandex,"IndexNow participant list, one dated table in indexnow.md",2026-08-13
L-VARIETY-1,design,Consecutive build difference,"2 of 4 axes, one visible","Two consecutive builds in a project log differ on at least two of paper band, display family, accent hue and colour strategy, and at least one of those two is paper or display. Hue and coverage can both move without the page looking different; the surface and the display face are what a reader sees first.",skills/siteasy/references/craft.md,,NullToHero editorial: build variety predicate,2026-08-13
L-VARIETY-2,design,Page shape repeat window,3 builds,A page shape is not reused inside the last three builds recorded in LOG.md. Three is enough to stop the drift toward one default shape without forbidding a shape the project genuinely needs twice.,skills/siteasy/references/craft.md,,NullToHero editorial: shape repeat window,2026-08-13
L-MOTION-4,motion,Narrowest supported viewport,375px,"Entrance and exit travel is expressed relative to the element, and any absolute translate is measured against 375px, the narrowest viewport the plugin supports. A percentage moves the element by its own size and is safe everywhere; a pixel length is a bet on the reader's screen.",skills/siteasy/references/animation-engineering.md,\b375\s*px\s+(?:viewport|wide),Narrowest viewport the plugin supports; matches the 375px iPhone SE class,2026-08-13
L-MOTION-5,motion,Per-item stagger delay,40 to 80ms,"A list or grid staggers its items by 40 to 80ms each. Below 40 the sequence reads as simultaneous and the stagger buys nothing; above 80 the last item makes the reader wait. The value was contested across five references (30-50, 30-80, 40-80, 50-100, 100-150) and is settled here on motion-choreography.md, whose subject is choreography and whose figure is the middle of the observed range.",skills/siteasy/references/motion-choreography.md,"[Ss]tagger[^\n]{0,60}?(\d{2,3})\s*(?:to|-|–|and)\s*(\d{2,3})\s*ms","NullToHero editorial, settled from five contradicting references (see P8)",2026-08-13
L-MOTION-6,motion,Exit to entrance duration ratio,75%,"An exit runs at 75% of its entrance duration. Leaving should feel quicker than arriving, and a single ratio keeps a system coherent. Four references said 75% and one said 60 to 70%; the majority holds and the outlier is corrected rather than averaged.",skills/siteasy/references/animation-engineering.md,"[Ee]xit[^\n]{0,80}?(\d{2})\s*(?:to|-|–)\s*(\d{2})\s*%","NullToHero editorial, majority of four references against one outlier (see P8)",2026-08-13
