No,Pattern Name,Surface,Keywords,Section Order,Primary CTA Placement,Color Strategy,Recommended Effects,Conversion Optimization
11,AI Personalization Landing,landing,"ai, personalization, smart, recommendation, dynamic","1. Dynamic hero (personalized), 2. Relevant features, 3. Tailored testimonials, 4. Smart CTA",Context-aware placement based on user segment,Adaptive based on user data. A/B test color variations per segment.,"Dynamic content swap, fade transitions, personalized product recommendations",20%+ conversion with personalization. Requires analytics integration. Fallback for new users.
12,Waitlist/Coming Soon,landing,"waitlist, coming-soon, launch, early-access, notify","1. Hero with countdown, 2. Product teaser/preview, 3. Email capture form, 4. Social proof (waitlist count)",Email form prominent (above fold) + Sticky form on scroll,Anticipation: Dark + accent highlights. Countdown in brand color. Urgency indicators.,"Countdown timer animation, email validation feedback, success confetti, social share buttons",Scarcity + exclusivity. Show waitlist count. Early access benefits. Referral program.
13,Comparison Table Focus,landing,"comparison, table, versus, compare, features","1. Hero (problem statement), 2. Comparison matrix (you vs competitors), 3. Feature deep-dive, 4. Winner CTA",After comparison table (highlighted row) + Bottom,Your product column highlighted (accent bg or green). Competitors neutral. Checkmarks green.,"Table row hover highlight, feature checkmark animations, sticky comparison header",Show value vs competitors. 35% higher conversion. Be factual. Include pricing if favorable.
14,Pricing-Focused Landing,landing,"pricing, price, cost, plans, subscription","1. Hero (value proposition), 2. Pricing cards (3 tiers), 3. Feature comparison, 4. FAQ, 5. Final CTA",Each pricing card + Sticky CTA in nav + Bottom,Popular plan highlighted (brand color border/bg). Free: grey. Enterprise: dark/premium.,"Price toggle monthly/annual animation, card hover lift, FAQ accordion smooth open",Annual discount 20-30%. Recommend mid-tier (most popular badge). Address objections in FAQ.
15,App Store Style Landing,landing,"app, mobile, download, store, install","1. Hero with device mockup, 2. Screenshots carousel, 3. Features with icons, 4. Reviews/ratings, 5. Download CTAs",Download buttons prominent (App Store + Play Store) throughout,Dark/light matching app store feel. Star ratings in gold. Screenshots with device frames.,"Device mockup rotations, screenshot slider, star rating animations, download button pulse",Show real screenshots. Include ratings (4.5+ stars). QR code for mobile. Platform-specific CTAs.
16,FAQ/Documentation Landing,landing,"faq, documentation, help, support, questions, faq/documentation, knowledge base","1. Hero with search bar, 2. Popular categories, 3. FAQ accordion, 4. Contact/support CTA",Search bar prominent + Contact CTA for unresolved questions,"Clean, high readability. Minimal color. Category icons in brand color. Success green for resolved.","Search autocomplete, smooth accordion open/close, category hover, helpful feedback buttons",Reduce support tickets. Track search analytics. Show related articles. Contact escalation path.
17,Immersive/Interactive Experience,landing,"immersive, interactive, experience, 3d, animation, immersive/interactive experience","1. Full-screen interactive element, 2. Guided product tour, 3. Key benefits revealed, 4. CTA after completion",After interaction complete + Skip option for impatient users,Immersive experience colors. Dark background for focus. Highlight interactive elements.,"WebGL, 3D interactions, gamification elements, progress indicators, reward animations",40% higher engagement. Performance trade-off. Provide skip option. Mobile fallback essential.
18,Event/Conference Landing,landing,"event, conference, meetup, registration, schedule, hero-centric design, hero-centric","1. Hero (date/location/countdown), 2. Speakers grid, 3. Agenda/schedule, 4. Sponsors, 5. Register CTA",Register CTA sticky + After speakers + Bottom,Urgency colors (countdown). Event branding. Speaker cards professional. Sponsor logos neutral.,"Countdown timer, speaker hover cards with bio, agenda tabs, early bird countdown",Early bird pricing with deadline. Social proof (past attendees). Speaker credibility. Multi-ticket discounts.
19,Product Review/Ratings Focused,landing,"reviews, ratings, testimonials, social-proof, social-proof-focused, stars","1. Hero (product + aggregate rating), 2. Rating breakdown, 3. Individual reviews, 4. Buy/CTA",After reviews summary + Buy button alongside reviews,Trust colors. Star ratings gold. Verified badge green. Review sentiment colors.,"Star fill animations, review filtering, helpful vote interactions, photo lightbox",User-generated content builds trust. Show verified purchases. Filter by rating. Respond to negative reviews.
20,Community/Forum Landing,landing,"community, forum, social, members, discussion","1. Hero (community value prop), 2. Popular topics/categories, 3. Active members showcase, 4. Join CTA",Join button prominent + After member showcase,"Warm, welcoming. Member photos add humanity. Topic badges in brand colors. Activity indicators green.","Member avatars animation, activity feed live updates, topic hover previews, join success celebration","Show active community (member count, posts today). Highlight benefits. Preview content. Easy onboarding."
21,Before-After Transformation,landing,"before-after, transformation, results, comparison","1. Hero (problem state), 2. Transformation slider/comparison, 3. How it works, 4. Results CTA",After transformation reveal + Bottom,Contrast: muted/grey (before) vs vibrant/colorful (after). Success green for results.,"Slider comparison interaction, before/after reveal animations, result counters, testimonial videos",Visual proof of value. 45% higher conversion. Real results. Specific metrics. Guarantee offer.
22,Marketplace / Directory,landing,"marketplace, directory, search, listing","1. Hero (Search focused), 2. Categories, 3. Featured Listings, 4. Trust/Safety, 5. CTA (Become a host/seller)",Hero Search Bar + Navbar 'List your item',Search: High contrast. Categories: Visual icons. Trust: Blue/Green.,"Search autocomplete animation, map hover pins, card carousel",Search bar is the CTA. Reduce friction to search. Popular searches suggestions.
23,Newsletter / Content First,landing,"newsletter, content, writer, blog, subscribe, minimal & direct, minimal-direct","1. Hero (Value Prop + Form), 2. Recent Issues/Archives, 3. Social Proof (Subscriber count), 4. About Author",Hero inline form + Sticky header form,Minimalist. Paper-like background. Text focus. Accent color for Subscribe.,"Text highlight animations, typewriter effect, subtle fade-in","Single field form (Email only). Show 'Join X, 000 readers'. Read sample link."
24,Webinar Registration,landing,"webinar, registration, event, training, live","1. Hero (Topic + Timer + Form), 2. What you'll learn, 3. Speaker Bio, 4. Urgency/Bonuses, 5. Form (again)",Hero (Right side form) + Bottom anchor,Urgency: Red/Orange. Professional: Blue/Navy. Form: High contrast white.,"Countdown timer, speaker avatar float, urgent ticker",Limited seats logic. 'Live' indicator. Auto-fill timezone.
25,Enterprise Gateway,landing,"enterprise, corporate, gateway, solutions, portal, trust, authority, trust & authority","1. Hero (Video/Mission), 2. Solutions by Industry, 3. Solutions by Role, 4. Client Logos, 5. Contact Sales",Contact Sales (Primary) + Login (Secondary),Corporate: Navy/Grey. High integrity. Conservative accents.,"Slow video background, logo carousel, tab switching for industries",Path selection (I am a...). Mega menu navigation. Trust signals prominent.
26,Portfolio Grid,landing,"portfolio, grid, showcase, gallery, masonry, portfolio grid + visuals","1. Hero (Name/Role), 2. Project Grid (Masonry), 3. About/Philosophy, 4. Contact",Project Card Hover + Footer Contact,Neutral background (let work shine). Text: Black/White. Accent: Minimal.,"Image lazy load reveal, hover overlay info, lightbox view",Visuals first. Filter by category. Fast loading essential.
27,Horizontal Scroll Journey,landing,"horizontal, scroll, journey, gallery, storytelling, panoramic, storytelling-driven","1. Intro (Vertical), 2. The Journey (Horizontal Track), 3. Detail Reveal, 4. Vertical Footer",Floating Sticky CTA or End of Horizontal Track,Continuous palette transition. Chapter colors. Progress bar #000000.,"Scroll-jacking (careful), parallax layers, horizontal slide, progress indicator",Immersive product discovery. High engagement. Keep navigation visible.
28,Bento Grid Showcase,landing,"bento, grid, features, modular, apple-style, showcase, feature-rich showcase","1. Hero, 2. Bento Grid (Key Features), 3. Detail Cards, 4. Tech Specs, 5. CTA",Floating Action Button or Bottom of Grid,Card backgrounds: #F5F5F7 or Glass. Icons: Vibrant brand colors. Text: Dark.,"Hover card scale (1.02), video inside cards, tilt effect, staggered reveal",Scannable value props. High information density without clutter. Mobile stack.
29,Interactive 3D Configurator,landing,"3d, configurator, customizer, interactive, product, interactive product demo","1. Hero (Configurator), 2. Feature Highlight (synced), 3. Price/Specs, 4. Purchase",Inside Configurator UI + Sticky Bottom Bar,Neutral studio background. Product: Realistic materials. UI: Minimal overlay.,"Real-time rendering, material swap animation, camera rotate/zoom, light reflection",Increases ownership feeling. 360 view reduces return rates. Direct add-to-cart.
30,AI-Driven Dynamic Landing,landing,"ai, dynamic, personalized, adaptive, generative","1. Prompt/Input Hero, 2. Generated Result Preview, 3. How it Works, 4. Value Prop",Input Field (Hero) + 'Try it' Buttons,Adaptive to user input. Dark mode for compute feel. Neon accents.,"Typing text effects, shimmering generation loaders, morphing layouts","Immediate value demonstration. 'Show, don't tell'. Low friction start."
31,Feature-Rich Showcase,landing,"feature-rich, feature-rich showcase, features, showcase, product showcase","1. Hero (value prop), 2. Feature grid/cards (4-6), 3. Use cases or benefits, 4. Social proof or logos, 5. CTA",Hero (sticky) + After features + Bottom,Brand primary + card bg #FAFAFA. Feature icons accent. CTA contrasting.,"Feature card hover lift, scroll reveal, icon micro-interactions",Clear feature hierarchy. One key message per card. Strong CTA repetition.
32,Hero-Centric Design,landing,"hero-centric, hero-centric design, hero-first, hero above fold","1. Full-bleed Hero (headline + visual), 2. Single value prop strip, 3. Key benefit or proof, 4. Primary CTA",Hero dominant (center/bottom) + Sticky nav CTA,Hero: High-impact visual. Minimal text. CTA 7:1 contrast.,"Hero parallax or video, CTA pulse on scroll, minimal chrome",One primary CTA. Hero is 60-80% above fold. Mobile: same hierarchy.
33,Trust & Authority + Conversion,landing,"trust & authority, trust, authority, conversion, credibility, enterprise","1. Hero (mission/credibility), 2. Proof (logos, certs, stats), 3. Solution overview, 4. Clear CTA path",Contact Sales / Get Quote (primary) + Nav,Navy/Grey corporate. Trust blue. Accent for CTA only.,"Logo carousel, stat counters, testimonial strip",Security badges. Case studies. Transparent pricing. Low-friction form.
34,Real-Time / Operations Landing,landing,"real-time, real-time monitor, operations, dashboard, telemetry, live data","1. Hero (product + live preview or status), 2. Key metrics/indicators, 3. How it works, 4. CTA (Start trial / Contact)",Primary CTA in nav + After metrics,Dark or neutral. Status colors (green/amber/red). Data-dense but scannable.,"Live data ticker, status pulse, minimal decoration",For ops/security/iot products. Demo or sandbox link. Trust signals.
35,Workbench,app,"workbench, tool, editor, canvas, inspector, rail, ide","1. Persistent left rail, 2. Canvas or document area, 3. Contextual inspector on the right, 4. Status bar","Inline on the canvas, never a hero button",Restrained: tinted neutrals carry the chrome so the work is the only saturated thing on screen,"Focus rings on every rail item, no motion on the canvas, panel resize without layout thrash",Time to first edit; the user should be able to act without reading anything
36,Metrics board,app,"dashboard, metrics, kpi, analytics, board, overview, tiles","1. Period and scope controls, 2. Headline figures, 3. Trend charts, 4. Breakdown table, 5. Empty and loading states","Controls at the top, drill-down inside each tile",Restrained with one accent reserved for the series under attention,"Skeletons sized to the final tile, no count-up animation on figures that update live","Answer the question the board exists for above the fold, without scrolling"
37,Console,app,"console, table, records, list, filters, admin, crud, data grid","1. Filter and search bar, 2. Bulk action bar (appears on selection), 3. Dense table, 4. Row detail drawer, 5. Pagination or virtualised scroll",Row-level actions and one primary create button in the bar,"Restrained: every colour in the table means a state, so decoration would read as data","Sticky header, no row animation, drawer opens without moving the table underneath",Rows scanned per screen; density is the feature
38,Inbox and thread,app,"inbox, thread, messages, conversation, triage, queue, two-pane","1. List pane with unread state, 2. Thread pane, 3. Composer pinned to the bottom of the thread, 4. Empty state for no selection","Composer, always visible in the thread pane",Restrained: unread and selected states need the only strong contrast on the page,"No transition between threads, preserved scroll position per thread",Time to triage; a keyboard path through the list is not optional
39,Settings ladder,app,"settings, preferences, account, configuration, profile, admin panel","1. Section index, 2. Grouped fields with inline help, 3. Per-section save or autosave indicator, 4. Destructive actions isolated at the bottom","Per-section save, never one global save at the end","Restrained, with destructive actions the only place red appears","Inline validation on blur, no toast for a change the field can confirm itself",A field found in under 5 seconds; destructive actions that cannot be hit by accident
40,Docs three-column,docs,"documentation, reference, api, guide, sidebar, toc, three-column","1. Nav tree, 2. Article body, 3. On-page table of contents, 4. Prev and next at the foot",Copy button on every code block; the CTA is the code,"Restrained: syntax highlighting is the palette, everything else steps back","Anchor links, scroll-spy on the table of contents, no reveal animation on body text",Time to the answer; search and the tree must both reach every page
41,Single-scroll reference,docs,"reference, cheatsheet, one page, api reference, spec, single scroll","1. Summary table at the top, 2. One section per entry, in a stable order, 3. Deep-linkable anchors throughout",None; the page is the deliverable,Restrained with one accent for the anchor state,"Sticky section headers, no lazy-loading (the page must be searchable with the browser's own find)",Findable with ctrl-F; printable without losing structure
42,Tutorial ladder,docs,"tutorial, walkthrough, getting started, steps, onboarding guide, quickstart","1. What you will have at the end, 2. Prerequisites, 3. Numbered steps with a verifiable result each, 4. Troubleshooting, 5. Next step","The next step, at the foot of each step",Restrained; a single accent marks the step the reader is on,"Persisted step progress, no autoplaying video, copyable commands",Completion rate; every step must state how the reader knows it worked
43,Long-form article,editorial,"article, essay, longread, editorial, blog post, feature, magazine","1. Standfirst, 2. Body with subheads, 3. Pull quotes and marginalia, 4. Author and date, 5. Related reading","None, or one at the very end",Committed: the body sets a measure and a colour the whole piece lives inside,"Reading progress, no interstitial, images that hold their space before they load",Read depth; the measure and the type size decide it more than the copy does
44,Index first,editorial,"index, archive, list, directory, catalogue of writing, table of contents page","1. The list itself, at the top, 2. Filters or years, 3. One line of framing under the title, if any",Each entry is the action,"Restrained: the list is dense, so any colour has to earn its place",Nothing on scroll; hover states on entries only,Entries per screen without losing scannability
45,Catalogue grid,catalogue,"catalogue, products, shop, collection, grid, browse, listing","1. Facets, 2. Result count and sort, 3. Grid of items, 4. Pagination, 5. Empty result state","On the item, in the grid",Full palette: category colour does real work here,"Consistent image aspect ratio, no hover-only information, filter changes that keep scroll position",Items compared per session; the grid must survive one item and a thousand
46,Specimen sheet,catalogue,"specimen, type specimen, swatches, samples, showcase, foundry, materials","1. The specimen at full size, 2. Axes or variants, 3. Technical detail, 4. Licence or availability","Under the technical detail, once",Drenched or full palette; the artefact is the subject and the page is its wall,"Variable-axis controls, no decorative motion competing with the specimen","Time spent on the specimen itself, not on the chrome around it"
47,Case-study spread,portfolio,"case study, project, portfolio, work, spread, before after","1. The outcome first, 2. Context and constraint, 3. The work, in sequence, 4. What it changed, with a real number or none, 5. Next project","Next project, at the foot","Committed: each case study takes the client's colour, not the studio's","Before and after that can be compared without a slider, no parallax over screenshots",Whether a reader who skims only the headings still gets the argument
