id,category,severity,rule,do,dont,good_code,bad_code,why,source
11,Performance,important,Modern image formats,Serve WebP or AVIF with fallbacks,Ship hero images as uncompressed PNG/JPG,"<picture><source srcset=""h.avif"" type=""image/avif""><img src=""h.jpg""></picture>","<img src=""hero.png""> <!-- 3MB -->",WebP and AVIF cut image bytes by half or more.,web.dev
12,Performance,important,Reserve media space,Set width/height or aspect-ratio to prevent CLS,Let images reflow layout on load,"<img src=""a.jpg"" width=""800"" height=""600"">","<img src=""a.jpg"">",Images with no dimensions shift the layout as they load.,web.dev
13,Performance,important,Lazy-load below the fold,Defer offscreen images,Eager-load every image on the page,"<img src=""b.jpg"" loading=""lazy"">","<img src=""b.jpg"">",Eager-loading offscreen images delays the first paint.,web.dev
14,Layout,important,No horizontal scroll,Keep content within the viewport width,Set fixed px widths wider than small screens,max-width: 100%;,width: 1200px;,Fixed widths wider than the screen force sideways scrolling on mobile.,web.dev
15,Layout,important,Allow zoom,Let users pinch-zoom,Disable zoom in the viewport meta,"<meta name=""viewport"" content=""width=device-width, initial-scale=1"">","<meta name=""viewport"" content=""... user-scalable=no"">",Blocking zoom fails low vision users.,WCAG 2.2
16,Typography,medium,Body size,Set base body text to >=16px,Use 12px body copy,font-size: 1rem;,font-size: 12px;,Body text under 16px strains reading on mobile.,web.dev
17,Typography,medium,Line length,Cap measure around 65-75 characters,Let paragraphs run the full window width,max-width: 70ch;,max-width: none;,Lines beyond about 75 characters are hard to track.,web.dev
18,Color,medium,Semantic tokens,Reference semantic tokens in components,Hardcode raw hex in components,color: var(--color-text);,color: #1a1a1a;,Hardcoded hex defeats theming and consistency.,MDN
19,Color,medium,Avoid pure black,Tint neutrals slightly toward the brand hue,Use #000 for large surfaces,background: oklch(0.15 0.01 270);,background: #000;,Pure black on large surfaces looks harsh and smears on OLED.,MDN
20,Motion,medium,Duration,Keep UI feedback between 150 and 300ms,Animate UI feedback longer than 300ms,transition: transform 200ms ease-out;,transition: transform 800ms;,UI feedback over 300ms feels sluggish.,web.dev
21,Motion,medium,Respect reduced motion,Honor prefers-reduced-motion,Animate regardless of user preference,@media (prefers-reduced-motion: reduce) { * { animation: none; } },/* no reduced-motion handling */,Motion triggers nausea for users with a vestibular disorder.,WCAG 2.2
22,Motion,medium,Animate cheap properties,Animate transform and opacity,Animate width/height/top/left,transform: translateX(10px);,left: 10px; width: 200px;,Animating layout properties forces reflow and drops frames.,web.dev
23,Forms,medium,Inline errors,Show errors next to the field,Show errors only at the top of the form,"<input aria-describedby=""e1""><span id=""e1"">Required</span>","<div class=""errors-top"">3 errors</div>",An error far from its field is hard to connect to the cause.,WCAG 2.2
24,Navigation,medium,Active state,Indicate the current page or section,Render all nav links identically,"<a aria-current=""page"">Home</a>",<a>Home</a>,Users need to know which page or section they are on.,WCAG 2.2
25,Data,low,Chart encoding,Add labels or patterns beyond color,Encode chart series by color alone,<svg><title>Sales by region</title>...</svg>,"<div class=""bar"" style=""background:red""></div>",Color alone excludes color blind readers from a chart.,WCAG 2.2
26,Forms,important,Mobile keyboard triggers,"Pair type, inputmode and autocomplete so codes and amounts raise the numeric keyboard","Use type=""number"" for codes, IDs or one-time codes","<input type=""text"" inputmode=""numeric"" autocomplete=""one-time-code"">","<input type=""number""> <!-- OTP field -->",The wrong input type raises the wrong keyboard for codes and amounts.,web.dev
27,Performance,medium,Loading state choreography,"Show nothing under 300ms, a skeleton from 300ms to 2s, a spinner with a contextual message beyond 2s",Flash a skeleton on instant loads or leave a bare spinner on long waits,"<div class=""skeleton"" aria-hidden=""true""></div> <!-- 300ms-2s wait -->","<div class=""spinner""></div> <!-- sole feedback for a 5s load -->",A flashed skeleton or a bare spinner reads as jank.,web.dev
28,Security,critical,External link safety,"Add rel=""noopener noreferrer"" to any target=""_blank"" link",Open a new tab without rel and expose window.opener,"<a href=""x"" target=""_blank"" rel=""noopener noreferrer"">","<a href=""x"" target=""_blank"">",target=_blank without rel exposes window.opener to the new tab.,OWASP
29,Security,critical,Unsanitized HTML,"Insert user or remote content with textContent, or sanitize before innerHTML",Assign an untrusted string to innerHTML,el.textContent = userInput,el.innerHTML = userInput,Assigning untrusted input to innerHTML is a cross-site scripting hole.,OWASP
30,Security,critical,No secrets in client code,Keep API keys and tokens behind a server or proxy,Embed a private key in shipped JavaScript,fetch('/api/proxy'),"const KEY = ""sk_live_abc123""",A key shipped in client JavaScript is public.,OWASP
31,Performance,important,Non-blocking scripts,"Defer or async scripts, or place them at the end of body",Load a render-blocking script in the head,"<script src=""app.js"" defer></script>","<head><script src=""app.js""></script></head>",A render-blocking script in the head delays the first paint.,web.dev
32,Performance,medium,Font loading,Declare font-display: swap so text shows immediately,Block text rendering on the web font download,@font-face { font-display: swap; },@font-face { /* none */ },Without font-display swap the text stays invisible during the font download.,web.dev
33,Robustness,important,Handle async failure,Catch fetch errors and render a recovery path,Await a fetch with no error handling,try { await fetch(u) } catch (e) { showError() },const r = await fetch(u),An unhandled fetch rejection leaves the user on a blank state.,MDN
34,Robustness,important,Empty and error states,"Design empty, loading and error states, not only the populated one",Render only the happy path,if (!items.length) return renderEmpty(),items.map(render),Only the happy path leaves the empty and error views undesigned.,MDN
35,Robustness,medium,Guard optional data,Guard nested optional fields before access,Read deep fields without a guard,user?.profile?.name,user.profile.name,Reading a deep field with no guard throws on missing data.,MDN
36,Code,medium,Semantic interactive elements,Use button for actions and a for links,Attach a click handler to a div or span,<button onclick>,<div onclick>,A div with a click handler is not focusable or announced as a control.,WCAG 2.2
37,Code,low,No debug noise,Strip console logging and dead code from the artifact,Ship console.log and commented-out code,/* clean */,console.log(data),console.log and dead code ship weight and leak internals.,MDN
38,Security,critical,Error leakage,Return a generic error page in production,Expose stack traces or framework error pages,catch { res.status(500).send('Something went wrong') },"app.use((e,req,res,next)=>res.status(500).send(e.stack))","Stack traces reveal framework, versions and file paths that guide an attacker.",OWASP
39,Security,important,Auth token storage,Keep auth tokens in httpOnly cookies,Store a session token in localStorage,Set-Cookie: token=x; HttpOnly; Secure; SameSite=Lax,"localStorage.setItem('token', jwt)",localStorage is readable by any script so an XSS can steal the token.,OWASP
40,Security,important,Avoid eval,Map or parse data instead of evaluating it,Pass a string to eval or new Function,const fn = handlers[name],eval(userInput),eval on tainted input is remote code execution.,OWASP
41,Robustness,important,Parse JSON safely,Wrap JSON.parse in try/catch or validate first,Call JSON.parse on a response with no guard,try { data = JSON.parse(text) } catch { data = null },const data = JSON.parse(await res.text()),A malformed response throws and takes down the render.,MDN
42,Robustness,medium,Clean up listeners,Remove listeners and clear timers on teardown,Add listeners that are never removed,"onCleanup(()=>el.removeEventListener('scroll', fn))","el.addEventListener('scroll', fn)",Orphaned listeners and timers leak memory and fire on dead nodes.,MDN
43,Robustness,medium,Print stylesheet,Ship an @media print block,Leave printing and PDF export unstyled,@media print { a[href]::after { content:' ('attr(href)')' } },/* no print styles */,Without it printed and PDF output wastes ink and hides link targets.,MDN
44,Accessibility,medium,Skip link,Provide a skip link that appears on focus,Ship an sr-only skip link that never becomes visible,.skip:focus { position:static; width:auto },.skip { position:absolute; left:-9999px },A keyboard user needs a visible skip link to jump past navigation.,WCAG 2.2
45,Robustness,low,Color-scheme meta,Declare the supported color schemes,Leave native controls locked to one theme,"<meta name=""color-scheme"" content=""light dark"">",<!-- no color-scheme -->,Native controls and scrollbars follow the page theme instead of clashing.,web.dev
46,Robustness,low,Guard JS-only UI,Degrade JS-dependent UI with noscript,Hide content that only appears once JS runs,<noscript>Enable JavaScript for the interactive view</noscript>,"<div class=""needs-js"" hidden>...</div>",Content hidden until JS runs is invisible when a script fails.,MDN
