id,area,name,value,statement,anchor,guard
L-VIEWPORT-1,layout,Full-bleed viewport unit,dvh,A full-bleed section that must never reveal the page behind it is sized in dvh; svh stops growing when the phone browser bar retracts and leaves a band of page background.,skills/siteasy/references/responsive-design.md,
L-VIEWPORT-2,layout,Viewport unit consistency,one unit per scroll system,A pinned scroll track and the platter pinned inside it use the same viewport unit; mixing vh and svh retimes every act because the two resolve to different heights.,skills/siteasy/references/parallax.md,
L-PROG-1,programmatic,Programmatic page-count gates,100 warn / 500 alert / 5000 stop,"Below 100 generated pages standard practice applies; 100 to 499 is a warning and takes a 10 percent sample audit; 500 to 4999 is a high alert and takes a full quality audit; 5000 and above is a hard stop until a thin-content prevention plan exists. Four tiers, not two: collapsing them relabels the alert as the stop.",skills/seo/references/programmatic.md,hard stop[^\n]*?[0-9]
L-PROG-2,programmatic,Location page gates,30 warn / 50 stop,"Location pages gate harder than generic programmatic pages, warning at 30 and hard stop at 50 without a thin-content audit, because a city-templated set is the canonical doorway pattern and the same page count carries more risk.",skills/seo/references/local.md,[0-9]+\+? location pages
L-WORD-1,content,Page-type word floors,"one table, in content.md",Per-page-type word counts are topical coverage floors and never targets. The single table lives in content.md and is cited; restating a different number elsewhere is how three files came to disagree on the same product page.,skills/seo/references/content.md,[Mm]inimum [0-9]+ words
L-INDEXNOW-1,indexing,IndexNow participant list,"one dated list, in indexnow.md","The IndexNow participant list is stated once, with a date, in indexnow.md. No other file enumerates it, because a partial copy does not look stale when a participant joins, it just stays quietly wrong.",skills/seo/references/indexnow.md,Yandex
L-VARIETY-1,design,Consecutive build difference,"2 of 4 axes, one visible","Two consecutive builds in a project log differ on at least two of paper band, display family, accent hue and colour strategy, and at least one of those two is paper or display. Hue and coverage can both move without the page looking different; the surface and the display face are what a reader sees first.",skills/siteasy/references/craft.md,
L-VARIETY-2,design,Page shape repeat window,3 builds,A page shape is not reused inside the last three builds recorded in LOG.md. Three is enough to stop the drift toward one default shape without forbidding a shape the project genuinely needs twice.,skills/siteasy/references/craft.md,
L-MOTION-4,motion,Narrowest supported viewport,375px,"Entrance and exit travel is expressed relative to the element, and any absolute translate is measured against 375px, the narrowest viewport the plugin supports. A percentage moves the element by its own size and is safe everywhere; a pixel length is a bet on the reader's screen.",skills/siteasy/references/animation-engineering.md,
L-MOTION-5,motion,Per-item stagger delay,40 to 80ms,"A list or grid staggers its items by 40 to 80ms each. Below 40 the sequence reads as simultaneous and the stagger buys nothing; above 80 the last item makes the reader wait. The value was contested across five references (30-50, 30-80, 40-80, 50-100, 100-150) and is settled here on motion-choreography.md, whose subject is choreography and whose figure is the middle of the observed range.",skills/siteasy/references/motion-choreography.md,"[Ss]tagger[^\n]{0,60}?(\d{2,3})\s*(?:to|-|–|and)\s*(\d{2,3})\s*ms"
L-MOTION-6,motion,Exit to entrance duration ratio,75%,"An exit runs at 75% of its entrance duration. Leaving should feel quicker than arriving, and a single ratio keeps a system coherent. Four references said 75% and one said 60 to 70%; the majority holds and the outlier is corrected rather than averaged.",skills/siteasy/references/animation-engineering.md,"[Ee]xit[^\n]{0,80}?(\d{2})\s*(?:to|-|–)\s*(\d{2})\s*%"
